id	topic_id	thread_id	type	opt
q_1	A.1	3062860	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""c"" display=""block"">   <ci>𝑐</ci> </math> "
q_2	A.1	3062860	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(x)=\frac{x^{2}+x+c}{x^{2}+2x+c}"" display=""block"">   <apply>     <eq/>     <apply>       <times/>       <ci>𝑓</ci>       <ci>𝑥</ci>     </apply>     <apply>       <divide/>       <apply>         <plus/>         <apply>           <csymbol cd=""ambiguous"">superscript</csymbol>           <ci>𝑥</ci>           <cn type=""integer"">2</cn>         </apply>         <ci>𝑥</ci>         <ci>𝑐</ci>       </apply>       <apply>         <plus/>         <apply>           <csymbol cd=""ambiguous"">superscript</csymbol>           <ci>𝑥</ci>           <cn type=""integer"">2</cn>         </apply>         <apply>           <times/>           <cn type=""integer"">2</cn>           <ci>𝑥</ci>         </apply>         <ci>𝑐</ci>       </apply>     </apply>   </apply> </math> "
q_3	A.1	3062860	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[-1,-\frac{1}{3}]"" display=""block"">   <interval closure=""closed"">     <apply>       <minus/>       <cn type=""integer"">1</cn>     </apply>     <apply>       <minus/>       <apply>         <divide/>         <cn type=""integer"">1</cn>         <cn type=""integer"">3</cn>       </apply>     </apply>   </interval> </math> "
q_4	A.1	3062860	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(x)=\frac{x^{2}+x+c}{x^{2}+2x+c}"" display=""block"">   <apply>     <eq/>     <apply>       <times/>       <ci>𝑓</ci>       <ci>𝑥</ci>     </apply>     <apply>       <divide/>       <apply>         <plus/>         <apply>           <csymbol cd=""ambiguous"">superscript</csymbol>           <ci>𝑥</ci>           <cn type=""integer"">2</cn>         </apply>         <ci>𝑥</ci>         <ci>𝑐</ci>       </apply>       <apply>         <plus/>         <apply>           <csymbol cd=""ambiguous"">superscript</csymbol>           <ci>𝑥</ci>           <cn type=""integer"">2</cn>         </apply>         <apply>           <times/>           <cn type=""integer"">2</cn>           <ci>𝑥</ci>         </apply>         <ci>𝑐</ci>       </apply>     </apply>   </apply> </math> "
q_5	A.1	3062860	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""c"" display=""block"">   <ci>𝑐</ci> </math> "
q_6	A.1	3062860	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f(x)"" display=""block"">   <apply>     <times/>     <ci>𝑓</ci>     <ci>𝑥</ci>   </apply> </math> "
q_7	A.1	3062860	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""[-1,-\frac{1}{3}]"" display=""block"">   <interval closure=""closed"">     <apply>       <minus/>       <cn type=""integer"">1</cn>     </apply>     <apply>       <minus/>       <apply>         <divide/>         <cn type=""integer"">1</cn>         <cn type=""integer"">3</cn>       </apply>     </apply>   </interval> </math> "
q_8	A.2	3069579	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""f^{\prime}(x)=f(x+1)"" display=""block"">   <apply>     <eq/>     <apply>       <times/>       <apply>         <csymbol cd=""ambiguous"">superscript</csymbol>         <ci>𝑓</ci>         <ci>′</ci>       </apply>       <ci>𝑥</ci>     </apply>     <apply>       <times/>       <ci>𝑓</ci>       <apply>         <plus/>         <ci>𝑥</ci>         <cn type=""integer"">1</cn>       </apply>     </apply>   </apply> </math> "
q_9	A.2	3069579	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\frac{df}{dx}=f(x+1)"" display=""block"">   <apply>     <eq/>     <apply>       <divide/>       <apply>         <times/>         <ci>𝑑</ci>         <ci>𝑓</ci>       </apply>       <apply>         <times/>         <ci>𝑑</ci>         <ci>𝑥</ci>       </apply>     </apply>     <apply>       <times/>       <ci>𝑓</ci>       <apply>         <plus/>         <ci>𝑥</ci>         <cn type=""integer"">1</cn>       </apply>     </apply>   </apply> </math> "
q_10	A.3	3073397	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\sqrt{5}"" display=""block"">   <apply>     <root/>     <cn type=""integer"">5</cn>   </apply> </math> "
q_11	A.3	3073397	title	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""10^{-10}"" display=""block"">   <apply>     <csymbol cd=""ambiguous"">superscript</csymbol>     <cn type=""integer"">10</cn>     <apply>       <minus/>       <cn type=""integer"">10</cn>     </apply>   </apply> </math> "
q_12	A.3	3073397	question	"<?xml version=""1.0"" encoding=""UTF-8""?> <math xmlns=""http://www.w3.org/1998/Math/MathML"" alttext=""\sqrt{5}"" display=""block"">   <apply>     <root/>     <cn type=""integer"">5</cn>   </apply> </math> "
