id	topic_id	thread_id	type	formula
q_1	A.301	4235721	title	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><infinity/></math>"
q_2	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝐴</ci></math>"
q_3	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><times/><ci>𝑚</ci><ci>𝑛</ci></apply></math>"
q_4	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><ci>𝑝</ci><cn type=""integer"">1</cn></apply></math>"
q_5	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><ci>𝑞</ci><infinity/></apply></math>"
q_6	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><apply><csymbol cd=""ambiguous"">subscript</csymbol><apply><csymbol cd=""latexml"">norm</csymbol><ci>𝐴</ci></apply><cn type=""integer"">2</cn></apply><apply><root/><apply><times/><ci>𝜌</ci><apply><times/><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝐴</ci><ci>𝑇</ci></apply><ci>𝐴</ci></apply></apply></apply></apply></math>"
q_7	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci><mtext>≤∥A∥2⁢∥A∥1∥A∥∞</mtext></ci></math>"
q_8	A.301	4235721	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><and/><apply><leq/><apply><times/><apply><divide/><cn type=""integer"">1</cn><apply><root/><ci>𝑛</ci></apply></apply><apply><csymbol cd=""ambiguous"">subscript</csymbol><apply><csymbol cd=""latexml"">norm</csymbol><ci>𝐴</ci></apply><infinity/></apply></apply><apply><csymbol cd=""ambiguous"">subscript</csymbol><apply><csymbol cd=""latexml"">norm</csymbol><ci>𝐴</ci></apply><cn type=""integer"">2</cn></apply></apply><apply><leq/><apply><times/><apply><root/><ci>𝑚</ci></apply><apply><csymbol cd=""ambiguous"">subscript</csymbol><apply><csymbol cd=""latexml"">norm</csymbol><ci>𝐴</ci></apply><infinity/></apply></apply></apply></apply></math>"
q_9	A.302	4233786	title	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><ci>𝑛</ci></math>"
q_10	A.302	4233786	body	"<math xmlns=""http://www.w3.org/1998/Math/MathML"" encoding=""MathML-Content""><apply><eq/><ci>𝑧</ci><apply><times/><apply><root/><degree><ci>𝑛</ci></degree><ci>𝑠</ci></apply><apply><csymbol cd=""ambiguous"">superscript</csymbol><ci>𝑒</ci><apply><divide/><apply><times/><ci>𝑖</ci><ci>𝜑</ci></apply><ci>𝑛</ci></apply></apply></apply></apply></math>"
